"Qty";"Value";"Device";"Package";"Parts";"Description"
"1";"1K OHM";"BLM18RK102SN1D";"0603";"FB1";"Ferrite Bead"
"1";"Yellow";"598-8040-107F";"CHIPLED_0603_NOOUTLINE";"LED_YELLOW";"LED Yellow"
"1";"Blue";"598-8091-107F";"CHIPLED_0603_NOOUTLINE";"LED_BLUE";"LED Blue"
"8";"0.1uF";"C1005X7R1A104K050BB";"_0402";"C3, C4, C5, C7, C14, C15, C16, C17";"Ceramic Capacitors"
"1";"0.47uF";"C0402C474K9PACTU";"_0402";"C11";"Ceramic Capacitors"
"1";"10K";"CRCW040210K0JNEDHP";"_0402";"R3";"Resistors"
"2";"10uF";"TAJA106K016RNJ";"EIA3216-18/A-R";"C1, C2";"Tantalum Capacitors"
"4";"1uF";"CGB2T1X5R0G105M022BC";"0402";"C6, C8, C9, C10";"Ceramic Capacitors"
"2";"22";"CRCW040222R0JNED";"0402";"R4, R5";"Resistors"
"2";"330";"CRCW0402330RJNED";"_0402";"R2, R9";"Resistors"
"1";"ATMEGA32U4QFN_1:1";"ATMEGA32U4-MU";"QFN-44-NOPAD_1:1";"MC";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller -----"
"1";"BLE113-A";"BLE113-A";"BLE113-A";"U$12";
"1";"16MHz";"CSTCE16M0V51-R0";"CSTCE16M0V51-RO_PACKAGE";"U$2";"This is the CSTCE16M0V51-R0 Murata resonator (CERALOCK) 16Mhz 0.5% Tolerance"
"1";"3V3";"TPS76333DBVT";"LDO_REGULATOR";"U$4";
"1";"USB_MICROB";"ZX62-B-5PA(11)";"USB_MICROB_PACKAGE";"U$1";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection."
